date,time,asset,dir,session,pnl,result,phase,be,loss_reasons,exit_type,rr,risk_pct,score,ict,smc,wyc,conditions,inst_score,grade
2025-01-10,03:50,GBP,BEAR,LONDON,-945.15,LOSS,3,False,['NORMAL_SL'],SL_FULL,3.0,0.75,8,3,3,2,"['ICT_SWEEP', 'ICT_CISD', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",61.5,B
2025-01-10,05:00,GBP,BEAR,LONDON,-942.05,LOSS,3,False,['ASIAN_HIGH_BROKEN'],SL_FULL,2.5,0.75,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",46.2,C
2025-01-10,05:05,GBP,BEAR,LONDON,197.13,WIN,3,True,[],TP_PARTIAL_BE,3.0,0.5,9,4,3,2,"['ICT_SWEEP', 'ICT_OB', 'ICT_CISD', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",69.2,B
2025-01-10,05:40,GBP,BEAR,LONDON,197.47,WIN,3,True,[],TP_PARTIAL_BE,3.0,0.5,7,2,3,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",53.8,C
2025-01-10,05:55,GBP,BEAR,LONDON,-945.15,LOSS,3,False,['ASIAN_HIGH_BROKEN'],SL_FULL,2.5,0.75,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",46.2,C
2025-01-10,08:10,EUR,BEAR,NEWYORK,-973.33,LOSS,3,False,"['ASIAN_HIGH_BROKEN', 'BULLISH_CANDLE']",SL_FULL,2.5,0.75,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",46.2,C
2025-01-10,08:25,GBP,BEAR,NEWYORK,751.06,WIN,3,False,[],TP_FULL,2.5,0.5,5,2,2,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",38.5,D
2025-01-14,10:00,GOLD,BULL,NEWYORK,681.38,WIN,3,False,[],TP_FULL,3.0,0.5,8,5,2,1,"['ICT_SWEEP', 'ICT_FVG', 'ICT_OB', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_IMBAL', 'WYC_TEST']",61.5,B
2025-01-14,10:05,GOLD,BULL,NEWYORK,800.8,WIN,3,False,[],TIMEOUT_MTM,3.0,0.75,9,4,3,2,"['ICT_SWEEP', 'ICT_FVG', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",69.2,B
2025-01-14,10:15,GBP,BULL,NEWYORK,1218.88,WIN,3,False,[],TP_FULL,2.5,0.75,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",46.2,C
2025-01-14,10:35,GBP,BULL,NEWYORK,395.25,WIN,3,True,[],TP_PARTIAL_BE,2.5,0.75,6,3,2,1,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",46.2,C
2025-01-14,10:40,GBP,BULL,NEWYORK,-845.27,LOSS,3,False,['ASIAN_LOW_BROKEN'],SL_FULL,3.0,0.75,7,4,2,1,"['ICT_SWEEP', 'ICT_FVG', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_IMBAL', 'WYC_EFFORT']",53.8,C
2025-01-14,10:45,GBP,BULL,NEWYORK,-96.22,LOSS,3,False,['BEARISH_CANDLE'],TP_PARTIAL_SL,3.0,0.75,7,4,2,1,"['ICT_SWEEP', 'ICT_FVG', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_IMBAL', 'WYC_EFFORT']",53.8,C
2025-01-15,11:05,GBP,BEAR,NEWYORK,802.07,WIN,3,False,[],TP_FULL,2.5,0.5,5,2,2,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",38.5,D
2025-01-17,03:05,EUR,BULL,LONDON,890.48,WIN,3,False,[],TP_FULL,3.0,0.5,8,3,3,2,"['ICT_SWEEP', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",61.5,B
2025-01-17,08:00,EUR,BEAR,NEWYORK,1353.81,WIN,3,False,[],TP_FULL,3.0,0.75,8,3,3,2,"['ICT_SWEEP', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",61.5,B
2025-01-17,08:20,EUR,BEAR,NEWYORK,1346.64,WIN,3,False,[],TP_FULL,3.0,0.75,7,3,3,1,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",53.8,C
2025-01-17,08:50,EUR,BEAR,NEWYORK,-890.88,LOSS,3,False,['NORMAL_SL'],SL_FULL,2.5,0.75,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_SPRING', 'WYC_EFFORT']",46.2,C
2025-01-17,09:05,GOLD,BULL,NEWYORK,576.13,WIN,3,False,[],TP_FULL,2.0,0.75,4,2,1,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_IMBAL', 'WYC_SPRING']",30.8,D
2025-01-17,09:10,GOLD,BULL,NEWYORK,784.94,WIN,3,False,[],TP_FULL,2.5,0.75,6,3,2,1,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",46.2,C
2025-01-17,09:15,GOLD,BULL,NEWYORK,-1290.65,LOSS,3,False,"['ASIAN_LOW_BROKEN', 'BEARISH_CANDLE']",SL_FULL,3.0,0.75,7,3,3,1,"['ICT_SWEEP', 'ICT_FVG', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST']",53.8,C
2025-01-17,09:30,GOLD,BULL,NEWYORK,958.4,WIN,3,False,[],TP_FULL,3.0,0.75,7,2,2,3,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_SPRING', 'WYC_CAUSE', 'WYC_EFFORT']",53.8,C
2025-01-17,09:35,GOLD,BULL,NEWYORK,-1315.34,LOSS,3,False,"['ASIAN_LOW_BROKEN', 'BEARISH_CANDLE']",SL_FULL,3.0,0.75,7,3,2,2,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_SPRING', 'WYC_CAUSE']",53.8,C
2025-01-17,09:45,EUR,BULL,NEWYORK,1225.18,WIN,3,False,[],TP_FULL,2.5,0.75,5,2,2,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_CAUSE']",38.5,D
2025-01-20,09:00,GOLD,BULL,NEWYORK,6.05,WIN,3,True,[],TP_PARTIAL_BE,2.5,0.75,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE']",46.2,C
2025-01-21,08:05,EUR,BULL,NEWYORK,1375.26,WIN,3,False,[],TP_FULL,3.0,0.75,8,4,3,1,"['ICT_SWEEP', 'ICT_FVG', 'ICT_OB', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",61.5,B
2025-01-21,08:20,EUR,BULL,NEWYORK,89.25,WIN,3,True,[],BE_FLAT,3.0,0.75,7,4,2,1,"['ICT_SWEEP', 'ICT_FVG', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_IMBAL', 'WYC_EFFORT']",53.8,C
2025-01-21,08:30,GBP,BULL,NEWYORK,1141.06,WIN,3,False,[],TP_FULL,2.5,0.75,5,2,2,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST']",38.5,D
2025-01-22,09:00,GBP,BEAR,NEWYORK,341.97,WIN,3,True,[],TP_PARTIAL_BE,2.5,0.75,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_SPRING', 'WYC_TEST']",46.2,C
